panel,outcome,stage_level,years,predicted
mri_amyloid,MMSE,Stage 6,2.569,25.9025
mri_amyloid,MMSE,Stage 6,2.828,25.6581
mri_amyloid,MMSE,Stage 6,3.086,25.4137
mri_amyloid,MMSE,Stage 6,3.345,25.1693
mri_amyloid,MMSE,Stage 6,3.603,24.9249
mri_amyloid,MMSE,Stage 6,3.862,24.6805
mri_amyloid,MMSE,Stage 6,4.121,24.4361
mri_amyloid,MMSE,Stage 6,4.379,24.1917
mri_amyloid,MMSE,Stage 6,4.638,23.9474
mri_amyloid,MMSE,Stage 6,4.897,23.703
mri_amyloid,MMSE,Stage 6,5.155,23.4586
mri_amyloid,MMSE,Stage 6,5.414,23.2142
mri_amyloid,MMSE,Stage 6,5.672,22.9698
mri_amyloid,MMSE,Stage 6,5.931,22.7254
mri_amyloid,MMSE,Stage 6,6.19,22.481
mri_amyloid,MMSE,Stage 6,6.448,22.2366
mri_amyloid,MMSE,Stage 6,6.707,21.9922
mri_amyloid,MMSE,Stage 6,6.966,21.7478
mri_amyloid,MMSE,Stage 6,7.224,21.5034
mri_amyloid,MMSE,Stage 6,7.483,21.259
mri_amyloid,MMSE,Stage 6,7.741,21.0146
mri_amyloid,MMSE,Stage 6,8.0,20.7702
mri_amyloid,CDRSUM,Stage 0,0.5,-0.2265
mri_amyloid,CDRSUM,Stage 0,0.759,-0.2396
mri_amyloid,CDRSUM,Stage 0,1.017,-0.2527
mri_amyloid,CDRSUM,Stage 0,1.276,-0.2658
mri_amyloid,CDRSUM,Stage 0,1.534,-0.2788
mri_amyloid,CDRSUM,Stage 0,1.793,-0.2919
mri_amyloid,CDRSUM,Stage 0,2.052,-0.305
mri_amyloid,CDRSUM,Stage 0,2.31,-0.318
mri_amyloid,CDRSUM,Stage 0,2.569,-0.3311
mri_amyloid,CDRSUM,Stage 0,2.828,-0.3442
mri_amyloid,CDRSUM,Stage 0,3.086,-0.3573
mri_amyloid,CDRSUM,Stage 0,3.345,-0.3703
mri_amyloid,CDRSUM,Stage 0,3.603,-0.3834
mri_amyloid,CDRSUM,Stage 0,3.862,-0.3965
mri_amyloid,CDRSUM,Stage 0,4.121,-0.4096
mri_amyloid,CDRSUM,Stage 0,4.379,-0.4226
mri_amyloid,CDRSUM,Stage 0,4.638,-0.4357
mri_amyloid,CDRSUM,Stage 0,4.897,-0.4488
mri_amyloid,CDRSUM,Stage 0,5.155,-0.4618
mri_amyloid,CDRSUM,Stage 0,5.414,-0.4749
mri_amyloid,CDRSUM,Stage 0,5.672,-0.488
